after_2018,after_june,stage,est,lower,upper
FALSE,TRUE,first,0.8781688558739299,0.801198031343952,0.9270816848310643
TRUE,TRUE,first,0.9397994879745502,0.9092438232607708,0.9626965945490091
FALSE,FALSE,first,0.9118961142381736,0.8549995792767925,0.9490780518545134
TRUE,FALSE,first,0.9572948633644254,0.9360567909393033,0.9734969092943729
FALSE,TRUE,second,0.9691963364268111,0.943589989804046,0.9864922854822706
TRUE,TRUE,second,0.9855373333133423,0.9745589880230485,0.992936495076367
FALSE,FALSE,second,0.9783452997396717,0.9589782009025177,0.9903208419888402
TRUE,FALSE,second,0.9898835345338096,0.9822555590436701,0.995071522351531
FALSE,TRUE,third,0.9882641418038218,0.9770688868376792,0.9964864553633233
TRUE,TRUE,third,0.9945467962150855,0.9896435930348166,0.9983929769767617
FALSE,FALSE,third,0.9917977249328184,0.9829962259763079,0.9974245875886865
TRUE,FALSE,third,0.9961959982879768,0.9928835889100147,0.9988840516080915
FALSE,TRUE,fourth,0.9986895398596312,0.9947547631731524,0.9999999696127663
TRUE,TRUE,fourth,0.9993944988695318,0.9976526749843715,0.9999999837494971
FALSE,FALSE,fourth,0.999087009974019,0.9961501476749608,0.9999999778358079
TRUE,FALSE,fourth,0.999578241150681,0.9982956032228787,0.9999999886272712
FALSE,TRUE,fifth,0.9762939648922856,0.95354139179559,0.9897287848054096
TRUE,TRUE,fifth,0.9889128221108641,0.9814463257830425,0.9952812562984547
FALSE,FALSE,fifth,0.9833710381041713,0.9691927855941163,0.9928729347635259
TRUE,FALSE,fifth,0.9922526233624793,0.9862483599511864,0.9967139562946016
FALSE,TRUE,pupa,0.8441925345863679,0.758604325593348,0.9107896179685376
TRUE,TRUE,pupa,0.9214738242550033,0.8823324242365972,0.9519893997030915
FALSE,FALSE,pupa,0.8861057692216167,0.8192343366888014,0.9364662042051897
TRUE,FALSE,pupa,0.9439774989785549,0.9163584601773604,0.9649730007983177
